BODEGA (COMERCIAL/INDUSTRIAL),CODIGO,LOTE,PRECIO1,PRECIO2,IVA(12/0/EX/NO)
COMERCIAL,7861028803034.3568.0000,COBERTOR JACQUARD PEGASO 3-KING,141.25,0,0
COMERCIAL,7861028803034.3569.0000,COBERTOR JACQUARD PEGASO 3-KING,141.25,0,0
COMERCIAL,7861028803034.3570.0000,COBERTOR JACQUARD PEGASO 3-KING,141.25,0,0
COMERCIAL,7861028803102.2915.3443,COBERTOR SULTAN 1.5-TWIN,101.5,0,0
COMERCIAL,7861028803119.2915.3443,COBERTOR SULTAN 2-FULL,111.8482,0,0
COMERCIAL,7861028803126.2915.2234,COBERTOR SULTAN 2.5-QUEEN,126.6964,0,0
COMERCIAL,7861028803126.3896.3445,COBERTOR SULTAN 2.5-QUEEN,126.6964,0,0
COMERCIAL,7861028803133.2915.3443,COBERTOR SULTAN 3-KING,136.6429,0,0
COMERCIAL,7861028803201.3051.3486,COBERTOR TAIPEI 1.5-TWIN,131.1339,0,0
COMERCIAL,7861028803201.3053.3486,COBERTOR TAIPEI 1.5-TWIN,131.1339,0,0
COMERCIAL,7861028803218.3051.3486,COBERTOR TAIPEI 2-FULL,135.1071,0,0
COMERCIAL,7861028803218.3053.3486,COBERTOR TAIPEI 2-FULL,135.1071,0,0
COMERCIAL,7861028803225.3053.3486,COBERTOR TAIPEI 2.5-QUEEN,153.1875,0,0
COMERCIAL,7861028803300.3612.3443,COBERTOR CALEIDO 1.5-TWIN,101.1518,0,0
COMERCIAL,7861028803317.3612.3443,COBERTOR CALEIDO 2-FULL,109.1518,0,0
COMERCIAL,7861028803324.3612.3443,COBERTOR CALEIDO 2.5-QUEEN,124.1518,0,0
COMERCIAL,7861028803331.3612.3443,COBERTOR CALEIDO 3-KING,132.1518,0,0
COMERCIAL,7861028803331.3612.3448,COBERTOR CALEIDO 3-KING,132.1518,0,0
COMERCIAL,7861028803416.2827.2775,COBERTOR CANNES 2-FULL,121.5536,0,0
COMERCIAL,7861028803416.2827.2777,COBERTOR CANNES 2-FULL,121.5536,0,0
COMERCIAL,7861028803416.2927.3452,COBERTOR CANNES 2-FULL,121.5536,0,0
COMERCIAL,7861028803416.2933.2542,COBERTOR CANNES 2-FULL,121.5536,0,0
COMERCIAL,7861028803423.2927.3452,COBERTOR CANNES 2.5-QUEEN,133.6964,0,0
COMERCIAL,7861028803423.2928.2841,COBERTOR CANNES 2.5-QUEEN,133.6964,0,0
COMERCIAL,7861028803423.2930.2837,COBERTOR CANNES 2.5-QUEEN,133.6964,0,0
COMERCIAL,7861028803423.2933.2542,COBERTOR CANNES 2.5-QUEEN,133.6964,0,0
